n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,avg_transceivers_node_26,avg_transceivers_node_27,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,max_transceivers_node_26,max_transceivers_node_27,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,10.0,8.0,9.0,5.0,5.0,7.456445993031359,9.456445993031359,9.0,6.0,8.536585365853659,4.285714285714286,6.0,8.0,8.0,5.0,6.0,7.536585365853658,7.0,4.0,4.0,6.0,3.0,8.564459930313589,9.0,14.564459930313589,6.0,4.0,9.285714285714286,10,8,9,5,5,8,10,9,6,9,5,6,8,8,5,6,8,7,4,4,6,3,10,9,16,6,4,10,196.56,200,3447,64.5
125,13.0,8.0,10.0,7.456445993031359,6.0,8.456445993031359,12.167247386759582,10.0,7.0,12.839721254355402,6.912891986062718,8.745644599303136,8.0,9.0,7.0,8.0,7.536585365853658,8.0,7.313588850174216,5.0,7.463414634146342,6.0,11.710801393728223,9.0,15.0,6.0,4.0,12.655052264808363,13,8,10,8,6,9,13,10,7,16,8,10,8,9,7,8,8,8,10,5,8,6,12,9,15,6,4,15,239.64,248,4548,93.55
150,13.0,10.0,11.0,9.456445993031359,7.0,10.905923344947736,11.867595818815332,10.449477351916377,8.0,13.839721254355402,9.912891986062718,10.745644599303136,11.0,13.0,9.0,9.0,10.536585365853659,9.0,9.313588850174217,5.0,8.463414634146341,9.0,12.790940766550523,12.0,16.37979094076655,6.0,5.0,13.655052264808363,13,10,11,10,7,12,13,11,8,17,11,12,11,13,9,9,11,9,12,5,9,9,14,12,17,6,5,16,282.7,294,5247,106.13
175,14.0,11.0,11.0,9.456445993031359,7.0,11.745644599303136,11.693379790940767,12.846689895470384,10.0,13.839721254355402,13.696864111498257,12.24390243902439,13.797909407665506,15.0,12.70034843205575,10.0,14.536585365853659,9.0,12.313588850174217,7.0,9.463414634146341,10.414634146341463,14.411149825783973,13.0,18.0,9.0,6.0,14.749128919860627,14,11,11,10,7,13,13,14,10,17,17,13,15,15,14,10,15,9,15,7,10,11,15,13,18,9,6,16,325.8,340,6081,119.56
200,14.0,12.0,11.0,9.456445993031359,8.456445993031359,13.926829268292684,12.867595818815332,15.853658536585366,13.0,14.839721254355402,13.752613240418118,16.37630662020906,15.797909407665506,16.37630662020906,14.0801393728223,11.456445993031359,15.536585365853659,10.0,15.101045296167248,8.0,13.466898954703833,11.414634146341463,20.78048780487805,16.588850174216027,20.581881533101047,11.0,7.02787456445993,14.285714285714286,14,12,11,10,9,15,14,17,13,18,15,17,17,17,15,12,16,10,19,8,14,12,26,18,21,11,8,15,370.56,388,6954,136.39
225,17.73170731707317,12.289198606271777,12.428571428571429,10.456445993031359,10.456445993031359,15.195121951219512,13.167247386759582,15.832752613240418,14.0,17.94425087108014,15.912891986062718,19.37630662020906,17.37630662020906,17.37630662020906,17.128919860627178,12.456445993031359,17.202090592334496,11.0,17.641114982578397,11.428571428571429,14.13588850174216,12.069686411149826,21.37979094076655,21.177700348432055,21.0,13.37979094076655,8.912891986062718,15.362369337979095,19,13,13,11,11,17,14,17,14,22,17,20,20,18,18,13,18,11,21,12,15,13,25,25,21,15,10,17,413.38,436,7785,150.7
250,17.72822299651568,16.034843205574912,12.564459930313589,11.0,14.114982578397212,15.195121951219512,15.32404181184669,16.846689895470384,15.0,17.829268292682926,15.752613240418118,20.37630662020906,19.954703832752614,20.37630662020906,18.686411149825783,15.456445993031359,19.202090592334496,12.0,19.209059233449477,11.278745644599303,14.13588850174216,13.069686411149826,20.982578397212542,22.369337979094077,27.45993031358885,15.37979094076655,10.536585365853659,15.202090592334494,19,18,14,11,16,17,17,20,15,21,17,21,23,21,21,16,20,12,23,12,15,14,25,26,33,17,11,17,450.84,480,8310,162.15
275,20.43554006968641,17.0,16.989547038327526,12.456445993031359,14.986062717770034,16.205574912891986,17.320557491289197,18.83275261324042,18.885017421602786,20.222996515679444,17.4006968641115,22.317073170731707,22.588850174216027,21.386759581881535,18.588850174216027,15.456445993031359,24.202090592334496,13.0,23.933797909407666,12.428571428571429,14.13588850174216,13.069686411149826,22.278745644599304,26.857142857142858,28.477351916376307,18.372822299651567,12.536585365853659,14.449477351916377,22,17,21,13,18,18,19,20,21,25,19,24,25,22,22,16,25,13,29,13,15,14,26,33,36,20,13,15,498.86,534,9258,182.78
300,21.62369337979094,17.0,21.70731707317073,13.993031358885018,18.738675958188153,17.37979094076655,17.257839721254356,19.83275261324042,18.4006968641115,21.700348432055748,20.700348432055748,24.78397212543554,23.76306620209059,23.128919860627178,18.714285714285715,16.285714285714285,25.65156794425087,16.536585365853657,26.75609756097561,14.428571428571429,16.135888501742162,14.069686411149826,23.982578397212542,29.975609756097562,30.662020905923345,21.05226480836237,15.0,18.369337979094077,24,17,28,15,22,19,20,21,20,27,24,27,26,25,21,17,27,17,35,15,17,15,28,36,37,25,15,20,546.4,588,10461,206.09
325,22.35191637630662,19.153310104529616,22.975609756097562,18.411149825783973,19.905923344947734,17.226480836236934,16.613240418118465,22.24390243902439,20.278745644599304,21.222996515679444,19.4006968641115,25.878048780487806,25.588850174216027,23.958188153310104,19.714285714285715,17.45296167247387,26.808362369337978,20.473867595818817,25.916376306620208,14.278745644599303,16.135888501742162,14.257839721254355,26.843205574912893,33.90243902439025,32.362369337979096,21.83623693379791,15.487804878048781,17.94076655052265,26,20,27,21,22,19,18,25,21,26,21,28,28,26,22,18,29,22,32,15,17,17,32,42,39,26,16,19,577.77,622,10965,218.52
350,23.358885017421603,21.48432055749129,22.993031358885016,18.041811846689896,22.902439024390244,17.658536585365855,17.613240418118465,22.066202090592334,20.574912891986063,23.752613240418118,19.421602787456447,28.770034843205575,29.51219512195122,25.083623693379792,21.18466898954704,17.45296167247387,26.850174216027874,22.229965156794425,27.89198606271777,16.557491289198605,19.60278745644599,16.71080139372822,26.853658536585368,33.75261324041812,34.501742160278745,23.83275261324042,17.48432055749129,20.1602787456446,27,23,27,21,26,20,19,25,22,29,21,32,33,28,24,18,29,25,35,18,21,21,32,42,42,27,19,24,616.66,674,12036,233.12
375,25.48780487804878,21.773519163763066,23.56445993031359,21.501742160278745,28.23693379790941,19.16724738675958,20.045296167247386,21.829268292682926,20.574912891986063,24.254355400696863,20.282229965156795,29.1602787456446,30.979094076655052,28.006968641114984,20.393728222996515,18.45296167247387,27.65156794425087,23.05226480836237,29.905923344947734,16.766550522648085,23.00348432055749,17.37630662020906,28.581881533101047,35.52961672473867,36.742160278745644,26.83275261324042,19.32752613240418,19.986062717770036,30,24,28,24,34,24,25,25,22,30,23,32,35,32,22,19,29,27,37,18,25,19,32,45,43,30,22,22,653.21,718,12558,245.96
